ID AVG WORKFLOW PLATFORM PIPELINE CORES FILES DATA_MB LATENCY BANDWITH SIMULATION_S MEASURED_MKSP_S ERR_MKSP MEASURED_WALLTIME_S ERR_WALLTIME
28183957 8 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 130.015 137.271 0.052861 154.28 0.157283
28183957 9 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 122.781 126.117 0.0264522 155.507 0.210445
28183957 10 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 119.898 118.965 0.00784333 126.106 0.0492261
28183957 11 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 119.213 117.271 0.0165564 121.924 0.0222341
28183957 12 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 121.164 121.201 0.000312055 126.56 0.0426359
28183957 13 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 120.618 119.833 0.00655103 156.716 0.23034
28183957 14 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 119.449 117.947 0.0127324 129.498 0.0776018
28183957 15 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 119.519 118.421 0.00927466 195.899 0.389895
28183918 1 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 116.151 116.639 0.00417931 131.842 0.119011
28183918 2 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 115.998 116.503 0.00433252 122.925 0.0563548
28183918 3 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 115.693 115.422 0.00234585 132.605 0.127534
28183918 4 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 114.766 113.349 0.012507 164.884 0.303957
28183918 5 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 114.477 113.101 0.0121598 138.425 0.173004
28183918 6 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 114.519 115.099 0.00503887 127.29 0.100328
28183918 7 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 114.902 113.754 0.0100906 177.256 0.351774
28183918 8 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 114.079 112.853 0.0108618 125.869 0.0936646
28183918 9 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 114.764 112.45 0.0205735 165.952 0.308451
28183918 10 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 114.559 112.842 0.0152187 126.568 0.0948812
28183918 11 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 115.022 115.241 0.00190473 148.471 0.225288
28183918 12 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 114.25 111.903 0.0209663 124.427 0.0817955
28183918 13 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 114.816 112.86 0.0173332 126.98 0.0957924
28183918 14 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 127.253 132.939 0.0427706 169.684 0.250061
28183918 15 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 125.498 135.221 0.0719067 156.948 0.200385
28183936 1 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 147.441 163.524 0.0983521 185.361 0.204574
28183936 2 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 140.426 151.98 0.0760217 194.922 0.27958
28183936 3 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 134.322 142.931 0.0602288 185.784 0.276998
28183936 4 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 137.792 147.97 0.0687856 175.641 0.215491
28183936 5 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 149.21 164.68 0.093938 196.322 0.239969
28183936 6 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 134.213 143.052 0.0617883 153.583 0.126121
28183936 7 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 134.853 143.731 0.0617699 165.858 0.186938
28183936 8 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 281.32 368.408 0.236391 382.403 0.264336
28183936 9 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 164.654 189.688 0.131972 200.128 0.177253
28183936 10 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 134.29 142.437 0.0572018 160.798 0.164856
28183936 11 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 141.543 154.994 0.0867817 167.168 0.15329
28183936 12 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 142.187 154.811 0.0815432 178.562 0.203711
28183936 13 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 135.573 144.889 0.064298 238.092 0.430586
28183936 14 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 135.865 145.993 0.0693712 166.003 0.18155
28183936 15 swarp-0.dax cori.xml 1 1 32 843.217 0.117647 2.32143 137.665 148.293 0.0716679 223.112 0.382976
28183952 1 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 127.102 130.812 0.028361 159.942 0.205322
28183952 2 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 126.659 129.302 0.0204437 142.167 0.109082
28183952 3 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 128.812 131.826 0.0228639 168.043 0.233459
28183952 4 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 127.106 130.133 0.0232608 154.332 0.176408
28183952 5 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 129.415 134.011 0.0342929 159.098 0.186573
28183952 6 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 128.872 133.266 0.0329673 168.569 0.235492
28183952 7 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 129.968 134.667 0.0348907 147.192 0.11702
28183952 8 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 145.73 162.296 0.102075 185.118 0.212772
28183952 9 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 141.265 155.053 0.0889245 183.831 0.231548
28183952 10 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 128.055 132.576 0.0341034 145.821 0.121837
28183952 11 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 125.426 127.151 0.0135715 136.073 0.0782504
28183952 12 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 128.008 132.535 0.0341576 189.004 0.322721
